"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway",366,0.456185438623994,1.8264383249336,8.99946715986917e-09,1.64000289876683e-05,1.40739035549252e-05,2521,"tags=36%, list=19%, signal=30%","ENSG00000263961/ENSG00000145623/ENSG00000138755/ENSG00000171855/ENSG00000165949/ENSG00000121807/ENSG00000131724/ENSG00000169245/ENSG00000137033/ENSG00000108700/ENSG00000245848/ENSG00000175505/ENSG00000184979/ENSG00000186074/ENSG00000130300/ENSG00000157601/ENSG00000107562/ENSG00000205755/ENSG00000163737/ENSG00000134352/ENSG00000127863/ENSG00000132170/ENSG00000101347/ENSG00000147488/ENSG00000120738/ENSG00000035720/ENSG00000089127/ENSG00000116678/ENSG00000141655/ENSG00000099985/ENSG00000185291/ENSG00000115594/ENSG00000108691/ENSG00000136244/ENSG00000124882/ENSG00000162302/ENSG00000185507/ENSG00000111331/ENSG00000156234/ENSG00000174885/ENSG00000121236/ENSG00000182578/ENSG00000167601/ENSG00000054598/ENSG00000105974/ENSG00000163736/ENSG00000122025/ENSG00000163734/ENSG00000091181/ENSG00000081041/ENSG00000171150/ENSG00000128604/ENSG00000113594/ENSG00000187608/ENSG00000115415/ENSG00000025434/ENSG00000144802/ENSG00000183087/ENSG00000010610/ENSG00000104312/ENSG00000115604/ENSG00000163701/ENSG00000160712/ENSG00000111252/ENSG00000198730/ENSG00000275302/ENSG00000170581/ENSG00000142089/ENSG00000090376/ENSG00000239998/ENSG00000254087/ENSG00000126561/ENSG00000198933/ENSG00000118503/ENSG00000110324/ENSG00000276070/ENSG00000157873/ENSG00000237693/ENSG00000088888/ENSG00000101336/ENSG00000104432/ENSG00000026508/ENSG00000198223/ENSG00000197122/ENSG00000168811/ENSG00000111335/ENSG00000122641/ENSG00000096968/ENSG00000213088/ENSG00000112964/ENSG00000125726/ENSG00000249437/ENSG00000124334/ENSG00000148400/ENSG00000067066/ENSG00000115602/ENSG00000196083/ENSG00000079385/ENSG00000121966/ENSG00000184584/ENSG00000125347/ENSG00000130304/ENSG00000100906/ENSG00000130508/ENSG00000104998/ENSG00000102871/ENSG00000173193/ENSG00000277632/ENSG00000169692/ENSG00000103490/ENSG00000166272/ENSG00000078902/ENSG00000163702/ENSG00000186818/ENSG00000186827/ENSG00000164136/ENSG00000130402/ENSG00000169871/ENSG00000173757/ENSG00000119535/ENSG00000105245/ENSG00000108342/ENSG00000185338/ENSG00000019582/ENSG00000185885/ENSG00000185201/ENSG00000081237/ENSG00000149600/ENSG00000126456/ENSG00000168610/ENSG00000137752"
"GO:0009617","GO:0009617","response to bacterium",459,0.433757674534431,1.76898956659802,8.34264971451681e-09,1.64000289876683e-05,1.40739035549252e-05,2136,"tags=33%, list=16%, signal=29%","ENSG00000138755/ENSG00000162692/ENSG00000169245/ENSG00000125845/ENSG00000005381/ENSG00000161929/ENSG00000170458/ENSG00000175445/ENSG00000106538/ENSG00000184979/ENSG00000159674/ENSG00000137965/ENSG00000129538/ENSG00000134061/ENSG00000129988/ENSG00000132465/ENSG00000007908/ENSG00000091513/ENSG00000090104/ENSG00000170323/ENSG00000169413/ENSG00000106366/ENSG00000121594/ENSG00000102575/ENSG00000170345/ENSG00000166278/ENSG00000136634/ENSG00000163737/ENSG00000140968/ENSG00000260314/ENSG00000091986/ENSG00000172264/ENSG00000255833/ENSG00000035720/ENSG00000089127/ENSG00000166527/ENSG00000125384/ENSG00000141655/ENSG00000150337/ENSG00000108691/ENSG00000136244/ENSG00000160323/ENSG00000123358/ENSG00000111331/ENSG00000162711/ENSG00000117586/ENSG00000156234/ENSG00000164867/ENSG00000174885/ENSG00000197766/ENSG00000121236/ENSG00000143669/ENSG00000174175/ENSG00000173269/ENSG00000125730/ENSG00000167601/ENSG00000243649/ENSG00000105974/ENSG00000122420/ENSG00000163736/ENSG00000096060/ENSG00000258818/ENSG00000163734/ENSG00000081041/ENSG00000072694/ENSG00000130649/ENSG00000114013/ENSG00000128604/ENSG00000187608/ENSG00000166523/ENSG00000197629/ENSG00000025434/ENSG00000198053/ENSG00000184588/ENSG00000163638/ENSG00000144802/ENSG00000010610/ENSG00000178726/ENSG00000106546/ENSG00000206047/ENSG00000134326/ENSG00000138642/ENSG00000104312/ENSG00000121053/ENSG00000160712/ENSG00000136848/ENSG00000137802/ENSG00000101017/ENSG00000090382/ENSG00000145287/ENSG00000198730/ENSG00000171522/ENSG00000136869/ENSG00000090376/ENSG00000197471/ENSG00000239998/ENSG00000188822/ENSG00000254087/ENSG00000132205/ENSG00000117280/ENSG00000124116/ENSG00000162654/ENSG00000118503/ENSG00000126759/ENSG00000130707/ENSG00000173334/ENSG00000110324/ENSG00000110944/ENSG00000174130/ENSG00000135077/ENSG00000157873/ENSG00000237693/ENSG00000088888/ENSG00000101336/ENSG00000233276/ENSG00000197122/ENSG00000007171/ENSG00000168811/ENSG00000111335/ENSG00000096968/ENSG00000114698/ENSG00000111961/ENSG00000185122/ENSG00000100504/ENSG00000135218/ENSG00000177189/ENSG00000153162/ENSG00000075426/ENSG00000154451/ENSG00000249437/ENSG00000172216/ENSG00000173821/ENSG00000148400/ENSG00000108771/ENSG00000006712/ENSG00000121742/ENSG00000168961/ENSG00000131979/ENSG00000103257/ENSG00000112062/ENSG00000100906/ENSG00000104998/ENSG00000117009/ENSG00000148926/ENSG00000124357/ENSG00000092067/ENSG00000103490/ENSG00000100219/ENSG00000128016/ENSG00000163874/ENSG00000196352/ENSG00000169239"
"GO:0002252","GO:0002252","immune effector process",496,0.432379668085136,1.76896520579685,3.14249517249131e-09,1.64000289876683e-05,1.40739035549252e-05,2167,"tags=30%, list=16%, signal=26%","ENSG00000256660/ENSG00000150637/ENSG00000175899/ENSG00000173369/ENSG00000171855/ENSG00000121807/ENSG00000159189/ENSG00000104921/ENSG00000182566/ENSG00000137033/ENSG00000005381/ENSG00000161929/ENSG00000175505/ENSG00000163687/ENSG00000173372/ENSG00000159674/ENSG00000000971/ENSG00000073754/ENSG00000122223/ENSG00000134061/ENSG00000198829/ENSG00000127951/ENSG00000107485/ENSG00000112936/ENSG00000205403/ENSG00000129988/ENSG00000198719/ENSG00000255587/ENSG00000121594/ENSG00000102575/ENSG00000166278/ENSG00000136634/ENSG00000140968/ENSG00000155659/ENSG00000169508/ENSG00000119508/ENSG00000179348/ENSG00000130202/ENSG00000035720/ENSG00000166527/ENSG00000150337/ENSG00000135046/ENSG00000196535/ENSG00000115594/ENSG00000107338/ENSG00000136244/ENSG00000136854/ENSG00000185507/ENSG00000066294/ENSG00000162711/ENSG00000117586/ENSG00000174885/ENSG00000197766/ENSG00000121236/ENSG00000143669/ENSG00000125730/ENSG00000167601/ENSG00000243649/ENSG00000176907/ENSG00000134545/ENSG00000213047/ENSG00000184557/ENSG00000072694/ENSG00000171150/ENSG00000114013/ENSG00000128604/ENSG00000078596/ENSG00000137628/ENSG00000166523/ENSG00000127507/ENSG00000105205/ENSG00000144802/ENSG00000101916/ENSG00000142192/ENSG00000106546/ENSG00000104312/ENSG00000163661/ENSG00000115604/ENSG00000134321/ENSG00000121053/ENSG00000160712/ENSG00000180644/ENSG00000073861/ENSG00000101017/ENSG00000159403/ENSG00000189171/ENSG00000139178/ENSG00000204475/ENSG00000171522/ENSG00000136869/ENSG00000090376/ENSG00000197471/ENSG00000136630/ENSG00000239998/ENSG00000254087/ENSG00000183734/ENSG00000012817/ENSG00000242574/ENSG00000076944/ENSG00000126759/ENSG00000214279/ENSG00000008513/ENSG00000126262/ENSG00000244731/ENSG00000110944/ENSG00000135077/ENSG00000157873/ENSG00000088888/ENSG00000101336/ENSG00000197122/ENSG00000007171/ENSG00000168811/ENSG00000160856/ENSG00000179639/ENSG00000171223/ENSG00000135218/ENSG00000125726/ENSG00000110492/ENSG00000124334/ENSG00000108771/ENSG00000015285/ENSG00000168229/ENSG00000168961/ENSG00000079385/ENSG00000103496/ENSG00000103257/ENSG00000204642/ENSG00000204525/ENSG00000069974/ENSG00000102760/ENSG00000101665/ENSG00000104998/ENSG00000160685/ENSG00000169398/ENSG00000175857/ENSG00000204590/ENSG00000277632/ENSG00000149269/ENSG00000103490/ENSG00000100219/ENSG00000163874/ENSG00000196352/ENSG00000186818/ENSG00000130303/ENSG00000160293/ENSG00000186827/ENSG00000105329"
"GO:0051607","GO:0051607","defense response to virus",278,0.479640808952977,1.86965102735601,4.02052433452861e-08,3.14002950526685e-05,2.69465818932241e-05,2542,"tags=33%, list=19%, signal=28%","ENSG00000137959/ENSG00000138755/ENSG00000171855/ENSG00000165949/ENSG00000105426/ENSG00000169245/ENSG00000137033/ENSG00000184979/ENSG00000146054/ENSG00000159674/ENSG00000127951/ENSG00000157601/ENSG00000169413/ENSG00000141682/ENSG00000185745/ENSG00000126709/ENSG00000101347/ENSG00000089127/ENSG00000136244/ENSG00000185507/ENSG00000111331/ENSG00000174885/ENSG00000121236/ENSG00000143669/ENSG00000069431/ENSG00000000003/ENSG00000119917/ENSG00000128604/ENSG00000183486/ENSG00000187608/ENSG00000068001/ENSG00000115415/ENSG00000137628/ENSG00000101916/ENSG00000129657/ENSG00000206047/ENSG00000204010/ENSG00000213928/ENSG00000134321/ENSG00000119922/ENSG00000119242/ENSG00000180644/ENSG00000101017/ENSG00000159714/ENSG00000170581/ENSG00000142089/ENSG00000197471/ENSG00000188313/ENSG00000168209/ENSG00000198933/ENSG00000055332/ENSG00000140691/ENSG00000204104/ENSG00000118503/ENSG00000110944/ENSG00000237693/ENSG00000140464/ENSG00000088888/ENSG00000111335/ENSG00000154451/ENSG00000108771/ENSG00000168404/ENSG00000101695/ENSG00000103313/ENSG00000160446/ENSG00000184584/ENSG00000125347/ENSG00000171791/ENSG00000181381/ENSG00000105497/ENSG00000103490/ENSG00000163874/ENSG00000064201/ENSG00000168495/ENSG00000130303/ENSG00000136878/ENSG00000164136/ENSG00000178896/ENSG00000169871/ENSG00000117228/ENSG00000172183/ENSG00000145782/ENSG00000185885/ENSG00000185201/ENSG00000129465/ENSG00000081237/ENSG00000121060/ENSG00000126456/ENSG00000104228/ENSG00000243725/ENSG00000137752/ENSG00000164300/ENSG00000204560"
"GO:0140546","GO:0140546","defense response to symbiont",278,0.479640808952977,1.86965102735601,4.02052433452861e-08,3.14002950526685e-05,2.69465818932241e-05,2542,"tags=33%, list=19%, signal=28%","ENSG00000137959/ENSG00000138755/ENSG00000171855/ENSG00000165949/ENSG00000105426/ENSG00000169245/ENSG00000137033/ENSG00000184979/ENSG00000146054/ENSG00000159674/ENSG00000127951/ENSG00000157601/ENSG00000169413/ENSG00000141682/ENSG00000185745/ENSG00000126709/ENSG00000101347/ENSG00000089127/ENSG00000136244/ENSG00000185507/ENSG00000111331/ENSG00000174885/ENSG00000121236/ENSG00000143669/ENSG00000069431/ENSG00000000003/ENSG00000119917/ENSG00000128604/ENSG00000183486/ENSG00000187608/ENSG00000068001/ENSG00000115415/ENSG00000137628/ENSG00000101916/ENSG00000129657/ENSG00000206047/ENSG00000204010/ENSG00000213928/ENSG00000134321/ENSG00000119922/ENSG00000119242/ENSG00000180644/ENSG00000101017/ENSG00000159714/ENSG00000170581/ENSG00000142089/ENSG00000197471/ENSG00000188313/ENSG00000168209/ENSG00000198933/ENSG00000055332/ENSG00000140691/ENSG00000204104/ENSG00000118503/ENSG00000110944/ENSG00000237693/ENSG00000140464/ENSG00000088888/ENSG00000111335/ENSG00000154451/ENSG00000108771/ENSG00000168404/ENSG00000101695/ENSG00000103313/ENSG00000160446/ENSG00000184584/ENSG00000125347/ENSG00000171791/ENSG00000181381/ENSG00000105497/ENSG00000103490/ENSG00000163874/ENSG00000064201/ENSG00000168495/ENSG00000130303/ENSG00000136878/ENSG00000164136/ENSG00000178896/ENSG00000169871/ENSG00000117228/ENSG00000172183/ENSG00000145782/ENSG00000185885/ENSG00000185201/ENSG00000129465/ENSG00000081237/ENSG00000121060/ENSG00000126456/ENSG00000104228/ENSG00000243725/ENSG00000137752/ENSG00000164300/ENSG00000204560"
"GO:0031349","GO:0031349","positive regulation of defense response",364,0.450843266419725,1.80384230316548,3.90649650518364e-08,3.14002950526685e-05,2.69465818932241e-05,2580,"tags=33%, list=19%, signal=28%","ENSG00000145623/ENSG00000150637/ENSG00000171855/ENSG00000121807/ENSG00000105426/ENSG00000137033/ENSG00000100079/ENSG00000245848/ENSG00000161929/ENSG00000170458/ENSG00000175445/ENSG00000186074/ENSG00000198829/ENSG00000129988/ENSG00000170323/ENSG00000106366/ENSG00000134352/ENSG00000130768/ENSG00000130202/ENSG00000035720/ENSG00000089127/ENSG00000141655/ENSG00000099985/ENSG00000150337/ENSG00000136244/ENSG00000091831/ENSG00000124882/ENSG00000185507/ENSG00000111331/ENSG00000162711/ENSG00000117586/ENSG00000174885/ENSG00000121236/ENSG00000142405/ENSG00000173269/ENSG00000125730/ENSG00000105974/ENSG00000000003/ENSG00000188906/ENSG00000134545/ENSG00000068001/ENSG00000137628/ENSG00000166523/ENSG00000025434/ENSG00000144802/ENSG00000101916/ENSG00000129657/ENSG00000142192/ENSG00000104312/ENSG00000134321/ENSG00000136848/ENSG00000186834/ENSG00000101017/ENSG00000204475/ENSG00000171522/ENSG00000136869/ENSG00000090376/ENSG00000188313/ENSG00000163794/ENSG00000239998/ENSG00000254087/ENSG00000108984/ENSG00000132205/ENSG00000163563/ENSG00000055332/ENSG00000118503/ENSG00000145675/ENSG00000103222/ENSG00000126262/ENSG00000110944/ENSG00000174130/ENSG00000135077/ENSG00000237693/ENSG00000088888/ENSG00000101336/ENSG00000197122/ENSG00000168811/ENSG00000160856/ENSG00000135218/ENSG00000177189/ENSG00000154451/ENSG00000249437/ENSG00000172216/ENSG00000110492/ENSG00000108771/ENSG00000115602/ENSG00000105373/ENSG00000101695/ENSG00000103313/ENSG00000160446/ENSG00000204642/ENSG00000184584/ENSG00000138794/ENSG00000125347/ENSG00000100906/ENSG00000007047/ENSG00000102871/ENSG00000124357/ENSG00000277632/ENSG00000151651/ENSG00000149269/ENSG00000103490/ENSG00000168495/ENSG00000105329/ENSG00000164136/ENSG00000215301/ENSG00000169871/ENSG00000173757/ENSG00000073331/ENSG00000106100/ENSG00000197329/ENSG00000068079/ENSG00000081189/ENSG00000121060/ENSG00000126456/ENSG00000148356/ENSG00000137752/ENSG00000163564/ENSG00000091106/ENSG00000177663/ENSG00000196954"
"GO:0032103","GO:0032103","positive regulation of response to external stimulus",467,0.420666613868867,1.71746082805259,3.739727690131e-08,3.14002950526685e-05,2.69465818932241e-05,2183,"tags=30%, list=16%, signal=26%","ENSG00000145623/ENSG00000150637/ENSG00000171855/ENSG00000121807/ENSG00000105426/ENSG00000169245/ENSG00000137033/ENSG00000100079/ENSG00000245848/ENSG00000170962/ENSG00000161929/ENSG00000170458/ENSG00000175445/ENSG00000106538/ENSG00000186074/ENSG00000134061/ENSG00000198829/ENSG00000129988/ENSG00000107562/ENSG00000170323/ENSG00000106366/ENSG00000117407/ENSG00000134853/ENSG00000112562/ENSG00000134352/ENSG00000128052/ENSG00000130768/ENSG00000130202/ENSG00000035720/ENSG00000089127/ENSG00000141655/ENSG00000099985/ENSG00000150337/ENSG00000136244/ENSG00000140945/ENSG00000036828/ENSG00000091831/ENSG00000124882/ENSG00000185507/ENSG00000111331/ENSG00000162711/ENSG00000117586/ENSG00000156234/ENSG00000174885/ENSG00000121236/ENSG00000142405/ENSG00000182578/ENSG00000173269/ENSG00000125730/ENSG00000105974/ENSG00000000003/ENSG00000188906/ENSG00000134545/ENSG00000119782/ENSG00000213015/ENSG00000068001/ENSG00000137628/ENSG00000166523/ENSG00000025434/ENSG00000144802/ENSG00000183087/ENSG00000101916/ENSG00000035664/ENSG00000129657/ENSG00000142192/ENSG00000178726/ENSG00000104312/ENSG00000134321/ENSG00000160712/ENSG00000136848/ENSG00000186834/ENSG00000101017/ENSG00000204475/ENSG00000275302/ENSG00000171522/ENSG00000136869/ENSG00000090376/ENSG00000140443/ENSG00000188313/ENSG00000239998/ENSG00000254087/ENSG00000108984/ENSG00000132205/ENSG00000111859/ENSG00000163563/ENSG00000055332/ENSG00000118503/ENSG00000145675/ENSG00000103222/ENSG00000126262/ENSG00000110944/ENSG00000174130/ENSG00000135077/ENSG00000237693/ENSG00000088888/ENSG00000101336/ENSG00000197122/ENSG00000168811/ENSG00000160856/ENSG00000111961/ENSG00000100600/ENSG00000135218/ENSG00000177189/ENSG00000153162/ENSG00000154451/ENSG00000249437/ENSG00000172216/ENSG00000110492/ENSG00000108771/ENSG00000115602/ENSG00000179218/ENSG00000183049/ENSG00000105373/ENSG00000101695/ENSG00000099250/ENSG00000074660/ENSG00000168961/ENSG00000103313/ENSG00000160446/ENSG00000103496/ENSG00000121966/ENSG00000204642/ENSG00000184584/ENSG00000138794/ENSG00000125347/ENSG00000100906/ENSG00000156427/ENSG00000007047/ENSG00000146242/ENSG00000102871/ENSG00000169398/ENSG00000124357/ENSG00000277632/ENSG00000151651/ENSG00000149269/ENSG00000103490/ENSG00000119630/ENSG00000168495/ENSG00000105329/ENSG00000164136/ENSG00000215301"
"GO:0009615","GO:0009615","response to virus",358,0.439152619269711,1.74954419333743,1.26630630958693e-07,8.65362074313965e-05,7.42622002872227e-05,2596,"tags=32%, list=19%, signal=27%","ENSG00000137959/ENSG00000138755/ENSG00000171855/ENSG00000165949/ENSG00000105426/ENSG00000169245/ENSG00000137033/ENSG00000108700/ENSG00000184979/ENSG00000146054/ENSG00000159674/ENSG00000137965/ENSG00000127951/ENSG00000107485/ENSG00000157601/ENSG00000107562/ENSG00000123685/ENSG00000169413/ENSG00000141682/ENSG00000185745/ENSG00000126709/ENSG00000101347/ENSG00000089127/ENSG00000136244/ENSG00000185507/ENSG00000111331/ENSG00000162711/ENSG00000117586/ENSG00000174885/ENSG00000121236/ENSG00000143669/ENSG00000069431/ENSG00000000003/ENSG00000119917/ENSG00000128604/ENSG00000183486/ENSG00000187608/ENSG00000068001/ENSG00000115415/ENSG00000137628/ENSG00000101916/ENSG00000129657/ENSG00000206047/ENSG00000204010/ENSG00000213928/ENSG00000134321/ENSG00000119922/ENSG00000119242/ENSG00000180644/ENSG00000073861/ENSG00000101017/ENSG00000159714/ENSG00000105323/ENSG00000275302/ENSG00000170581/ENSG00000142089/ENSG00000090376/ENSG00000197471/ENSG00000188313/ENSG00000168209/ENSG00000198933/ENSG00000055332/ENSG00000140691/ENSG00000204104/ENSG00000118503/ENSG00000128815/ENSG00000110944/ENSG00000237693/ENSG00000140464/ENSG00000088888/ENSG00000168811/ENSG00000111335/ENSG00000028277/ENSG00000096968/ENSG00000154451/ENSG00000108771/ENSG00000179218/ENSG00000168404/ENSG00000101695/ENSG00000168961/ENSG00000103313/ENSG00000160446/ENSG00000121966/ENSG00000184584/ENSG00000112062/ENSG00000125347/ENSG00000171791/ENSG00000181381/ENSG00000105497/ENSG00000103490/ENSG00000163874/ENSG00000064201/ENSG00000168495/ENSG00000130303/ENSG00000136878/ENSG00000164136/ENSG00000215301/ENSG00000178896/ENSG00000169871/ENSG00000117228/ENSG00000172183/ENSG00000145782/ENSG00000120885/ENSG00000185885/ENSG00000185201/ENSG00000129465/ENSG00000081237/ENSG00000121060/ENSG00000126456/ENSG00000104228/ENSG00000243725/ENSG00000137752/ENSG00000164300/ENSG00000204560/ENSG00000177663/ENSG00000179750"
"GO:1902105","GO:1902105","regulation of leukocyte differentiation",260,0.476331487044185,1.85181445940139,1.75559864527177e-07,0.000106642864374453,9.15169960465063e-05,2178,"tags=33%, list=16%, signal=28%","ENSG00000109906/ENSG00000171855/ENSG00000125657/ENSG00000002933/ENSG00000143842/ENSG00000121807/ENSG00000112299/ENSG00000159189/ENSG00000182566/ENSG00000106565/ENSG00000115738/ENSG00000127951/ENSG00000107485/ENSG00000121594/ENSG00000170345/ENSG00000136634/ENSG00000163737/ENSG00000134256/ENSG00000179348/ENSG00000123610/ENSG00000198846/ENSG00000179388/ENSG00000163599/ENSG00000057657/ENSG00000135046/ENSG00000107338/ENSG00000242252/ENSG00000169071/ENSG00000128342/ENSG00000185507/ENSG00000162711/ENSG00000117586/ENSG00000123999/ENSG00000167601/ENSG00000187098/ENSG00000072694/ENSG00000130584/ENSG00000135426/ENSG00000171150/ENSG00000114013/ENSG00000109670/ENSG00000152518/ENSG00000144802/ENSG00000183087/ENSG00000010610/ENSG00000104312/ENSG00000073861/ENSG00000136869/ENSG00000107738/ENSG00000136630/ENSG00000204103/ENSG00000254087/ENSG00000183734/ENSG00000111859/ENSG00000145675/ENSG00000173334/ENSG00000110944/ENSG00000104432/ENSG00000122641/ENSG00000160856/ENSG00000049130/ENSG00000185122/ENSG00000171223/ENSG00000157227/ENSG00000128606/ENSG00000185862/ENSG00000168421/ENSG00000172216/ENSG00000166147/ENSG00000110492/ENSG00000175467/ENSG00000168961/ENSG00000079385/ENSG00000122378/ENSG00000125347/ENSG00000101665/ENSG00000160685/ENSG00000277632/ENSG00000151651/ENSG00000100219/ENSG00000180694/ENSG00000163874/ENSG00000186818/ENSG00000105329/ENSG00000164136"
"GO:0002697","GO:0002697","regulation of immune effector process",301,0.457771894102711,1.80190898140506,3.85172483288648e-07,0.000210573796613904,0.000180706711370264,2167,"tags=32%, list=16%, signal=27%","ENSG00000256660/ENSG00000150637/ENSG00000175899/ENSG00000171855/ENSG00000121807/ENSG00000104921/ENSG00000182566/ENSG00000137033/ENSG00000161929/ENSG00000175505/ENSG00000163687/ENSG00000159674/ENSG00000000971/ENSG00000073754/ENSG00000122223/ENSG00000127951/ENSG00000107485/ENSG00000129988/ENSG00000121594/ENSG00000102575/ENSG00000136634/ENSG00000155659/ENSG00000119508/ENSG00000179348/ENSG00000130202/ENSG00000035720/ENSG00000150337/ENSG00000135046/ENSG00000196535/ENSG00000115594/ENSG00000107338/ENSG00000136244/ENSG00000136854/ENSG00000066294/ENSG00000162711/ENSG00000117586/ENSG00000121236/ENSG00000125730/ENSG00000167601/ENSG00000134545/ENSG00000213047/ENSG00000072694/ENSG00000171150/ENSG00000114013/ENSG00000128604/ENSG00000137628/ENSG00000127507/ENSG00000105205/ENSG00000144802/ENSG00000106546/ENSG00000104312/ENSG00000115604/ENSG00000134321/ENSG00000121053/ENSG00000073861/ENSG00000101017/ENSG00000204475/ENSG00000136869/ENSG00000090376/ENSG00000197471/ENSG00000136630/ENSG00000254087/ENSG00000183734/ENSG00000242574/ENSG00000076944/ENSG00000126759/ENSG00000126262/ENSG00000110944/ENSG00000135077/ENSG00000157873/ENSG00000088888/ENSG00000007171/ENSG00000168811/ENSG00000160856/ENSG00000171223/ENSG00000135218/ENSG00000108771/ENSG00000015285/ENSG00000168961/ENSG00000079385/ENSG00000103496/ENSG00000103257/ENSG00000204642/ENSG00000204525/ENSG00000101665/ENSG00000104998/ENSG00000160685/ENSG00000103490/ENSG00000100219/ENSG00000163874/ENSG00000196352/ENSG00000186818/ENSG00000130303/ENSG00000186827/ENSG00000105329"
