"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","206/2534","364/8764",1.85215418177289e-29,6.24175959257463e-27,3.6653156439295e-27,"572/4706/5689/7384/5704/637/9782/9821/23279/5606/5685/3309/7175/55706/4710/55102/7132/55746/6389/60/5289/25978/81929/2521/4708/10762/23511/5714/4713/7494/5706/5684/5700/5687/8480/5688/9688/5713/80208/5683/23064/5532/5709/5216/4927/4717/23130/55626/4928/4728/5715/506/57122/1337/1432/6428/1347/9631/25981/10120/10213/374291/6432/9167/2882/515/6390/22926/4709/317/5533/23435/847/3181/10133/60673/10376/514/9972/4694/79902/5690/3831/1340/8678/22863/8021/1350/10975/7277/7979/468/4698/5682/10452/4705/11047/1327/1349/55860/23225/29107/51164/1965/29979/517/3178/1329/5879/4711/10010/5695/4686/79139/11258/10121/310/53371/5530/9818/7385/81631/4716/6647/5694/5686/5868/54539/4715/203228/4718/498/5903/522/23165/7381/6396/26100/516/5710/5692/8878/5701/10482/9861/55255/4724/836/27089/1345/7415/509/5702/4714/4218/7846/84790/4723/10476/11273/4725/7386/220988/3799/596/54205/7388/5707/126328/5708/1649/10540/9776/84617/1351/8408/4729/9377/1537/4707/10189/71/55967/5719/10383/4697/203068/5718/4513/4519/4536/4540/2475/4512/4538/6392/6311/4539/7416/4722/5534/2876/539/4701/100101267/5691",206
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","158/2534","272/8764",2.18366506105114e-24,3.67947562787118e-22,2.16067911304008e-22,"572/4706/292/5689/7384/2534/5704/5685/3309/1535/4710/1459/6389/7419/4708/5714/4713/5594/4689/5706/5684/5700/5687/5688/1457/5713/5683/5599/5532/5709/4717/3312/4728/5715/506/1337/1432/1347/10213/374291/9167/1386/515/4688/6390/1385/4709/1958/317/5533/5290/3709/10376/514/4694/3553/5690/3831/1340/1350/10975/7277/7979/468/5880/4698/5682/4705/11047/1327/1349/1965/517/1329/5879/4711/5695/5530/7385/4716/6647/5694/5567/5686/148327/5295/54539/4715/4851/4718/498/522/7381/653361/516/5710/5692/5701/9861/4724/836/27089/1345/1536/509/7417/5702/4714/7846/84790/4723/10476/10963/4725/7386/293/3799/5293/5621/54205/712/7388/5707/126328/5708/1649/84617/1351/4729/9377/1537/64764/4707/55967/5719/10383/4697/203068/5718/4513/4519/4536/4540/4512/4538/6392/3304/3303/1460/4539/7416/4722/1388/5534/539/4701/6352/5691",158
"hsa05012","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","152/2534","266/8764",1.69538309858524e-22,1.90448034741076e-20,1.1183579738036e-20,"4706/292/5689/7384/5704/5685/3309/4710/6389/7419/2778/4708/5714/4713/7494/5706/5684/5700/5687/5688/5713/5683/5599/5709/4717/4728/5715/4891/506/1337/1347/2771/10213/374291/27429/9167/4780/11315/515/9927/6390/22926/4709/1843/317/3709/10376/514/4694/5690/3831/1340/1350/10975/7277/7979/468/4698/5682/4705/11047/7317/1327/1349/7326/1965/517/1329/4711/7295/5695/64116/7385/4716/29985/6647/5694/5567/5686/805/6233/817/54539/4715/7316/4718/498/522/7381/9246/516/5710/5692/808/5701/9861/4724/836/27089/1345/509/7417/5702/4714/7846/84790/4723/10476/4725/7386/293/7314/3799/55669/54205/7388/5707/126328/5708/1649/84617/1351/4729/9377/1537/7318/4707/55967/7327/5719/7332/10383/4697/203068/57181/5718/801/4513/4519/4536/4540/4512/51465/4538/6392/4539/7416/4722/7311/539/4701/5691",152
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","125/2534","204/8764",2.59731205460572e-22,2.18823540600532e-20,1.28498596385757e-20,"572/8379/1387/9734/5610/841/6672/5315/387/9759/5423/998/87/1739/7419/5933/5902/5594/2033/83933/22938/5700/4792/5934/1021/10014/7531/4790/2965/1027/1108/896/7337/8850/1386/1385/894/5290/1017/8970/1026/3661/6776/23352/7533/468/81/10971/3572/1019/4193/5879/2959/5925/5366/5567/148327/890/5295/2934/1111/5922/3017/8365/9114/3716/9261/5966/836/7534/6850/3190/7529/1642/3516/6774/7532/983/5293/5970/6777/3725/2885/8347/23513/64764/8349/8340/3665/7874/3066/8364/27044/8363/121504/85236/440689/3107/3133/3134/3105/4893/1388/10379/1654/8341/3106/554313/8370/8362/8342/8339/8344/8361/8348/8368/8345/8294/3018/8367/8360/8343/8346/8359/8366",125
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","166/2534","306/8764",3.27221820527034e-21,2.20547507035221e-19,1.29510952124384e-19,"4706/292/5439/1387/163/5689/7384/5704/9821/5685/1175/5431/841/4710/55102/6389/5289/7419/5978/23186/4708/5714/4713/2033/5706/5684/5700/5687/5688/5432/5713/5683/5599/5709/4717/23130/55626/4728/5715/506/1337/1347/55081/25981/10120/10213/374291/9167/2882/515/6390/1385/4709/317/1211/60673/10376/514/4694/5690/3831/1340/8678/22863/1350/10975/7277/7979/4698/5682/4705/11047/1327/1349/55860/51164/517/1329/4711/5695/11258/5330/10121/7385/4716/1213/6647/5694/5686/148327/54539/5440/4715/4718/498/522/2776/7381/26100/516/5710/5692/5701/1173/9861/4724/836/27089/1345/509/7417/5702/4714/7846/84790/4723/10476/5436/4725/7386/293/25942/3799/54205/7388/5707/126328/5708/10540/9776/1212/84617/1351/8408/4729/9377/1537/5430/64764/23236/161/4707/55967/6667/5719/10383/4697/203068/3066/5718/3064/4513/4519/4536/4540/2475/4512/4538/6392/4539/7416/4722/2876/539/4701/5691",166
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","195/2534","384/8764",2.55849704159806e-20,1.43702250503091e-18,8.43855164597254e-19,"572/4706/292/5689/7384/5704/823/637/9821/5685/5610/841/4710/55102/7132/1459/3028/6389/5743/369/5289/7419/4708/5714/4713/5594/7494/5706/5684/5700/5687/5688/1457/5713/3551/208/5683/1855/5599/5532/5709/4790/4717/23130/55626/4728/5715/4891/506/2597/1337/1347/1452/10213/374291/57142/9167/515/6390/51107/22926/4709/317/5533/5290/3709/60673/10376/514/4694/3553/5690/3831/1340/8678/22863/5605/1350/10975/7277/7979/468/4698/5682/348/4705/11047/1327/1349/5894/10313/1965/517/1329/4711/5695/5330/102/5530/64116/7385/4716/29985/351/207/5694/5686/805/5295/54539/4715/4718/6868/498/522/2776/7381/673/26100/516/5710/5692/8883/808/5701/23385/9861/4724/836/27089/1345/1536/509/7417/840/5702/4714/7846/84790/4723/10476/1499/4725/7386/5604/293/3799/3643/5293/54205/5970/7388/5707/488/126328/5708/1649/9776/84617/1351/8408/4729/9377/1537/23236/4707/55967/5719/8660/10383/4697/203068/4311/57181/5718/801/4513/4519/4536/4540/2475/4512/4538/6392/1460/4539/4893/1147/7416/4722/1454/5534/539/4701/5691",195
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","115/2534","191/8764",9.58834554401411e-20,4.61610349761822e-18,2.71069016883406e-18,"292/4353/3683/9734/1535/9759/60/7419/5594/4689/83933/1511/79792/208/94239/10014/4790/1432/9555/4688/5290/8970/5605/5880/8520/5894/3021/5879/7097/5330/207/5295/3017/8365/653361/23569/3689/3020/3015/820/6850/1536/7417/5579/5604/293/2357/5293/5970/8334/8347/23236/653604/71/8338/317772/8349/8340/3014/3146/3066/8329/8969/3013/837/8364/8356/8363/728/8351/10533/1991/121504/85236/5336/2475/126961/440689/333932/7416/8341/55766/554313/8370/8362/8342/8339/8355/8344/8361/8348/8353/85235/8368/8330/8354/8345/8350/8294/8331/3018/8332/8367/3012/8360/8343/8968/8335/8346/8359/8336/8366/8357/8358/8352",115
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","104/2534","170/8764",1.10414249449164e-18,4.65120025804603e-17,2.73129985479511e-17,"7095/823/11231/3309/9709/8454/29927/55176/4287/23471/10294/6400/7321/3998/54431/56681/3320/3301/56605/23645/10961/23193/51726/3326/7494/9978/10484/80331/84061/5611/10273/10952/573/5599/7323/7466/3312/4121/6500/6747/4780/22926/6185/5887/64374/6745/821/468/1603/5589/7322/3337/7326/23480/1965/9695/746/3703/29979/10956/3300/56886/64215/79139/22872/10427/8720/10130/23190/10299/55768/6396/267/51035/84447/6746/201595/6184/7415/7184/2923/80700/10960/596/1649/9632/11253/811/5886/55432/6748/55666/7327/5034/10134/30001/10905/51465/58505/3304/3303/1388/81567/1650",104
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","225/2534","476/8764",2.34316311710752e-18,8.77384411628037e-17,5.1522183159791e-17,"572/4706/292/5689/7384/5704/823/637/9821/5606/5685/3309/841/4710/4287/55102/7132/1459/3028/6389/5743/369/5289/7419/25978/2521/4708/5714/4713/5594/7494/5706/5684/5700/5687/5688/1457/5713/80208/5683/1855/5599/5532/5709/4790/4717/23130/55626/4728/5715/506/1337/1432/1347/1452/55081/25981/10120/10213/374291/27429/9167/2882/11315/515/9927/6390/22926/4709/317/5533/23435/847/3709/10133/60673/10376/514/4694/3553/5690/3831/1340/8678/22863/5605/1350/10975/7277/7979/468/4698/5682/10452/4705/11047/7317/1327/1349/55860/5894/7326/51164/1965/517/1329/5879/4711/10010/5695/79139/11258/5330/10121/5530/7385/81631/4716/6647/351/5694/5686/805/6233/5868/817/54539/4715/203228/7316/4718/498/522/2776/7381/9246/673/26100/516/5710/5692/808/8878/5701/9861/55255/4724/836/27089/1345/1536/7415/509/7417/840/5702/4714/5579/4218/7846/84790/4723/10476/1499/11273/4725/7386/5604/293/7314/3799/55669/596/5621/54205/5970/7388/5707/488/126328/5708/1649/10540/9776/84617/1351/8408/4729/9377/1537/7318/23236/4707/55967/7327/5719/7332/10383/4697/203068/5718/3064/801/4513/4519/4536/4540/2475/4512/51465/4538/6392/1460/6311/4539/4893/7416/4722/1454/5534/7311/2876/539/4701/5691",225
"hsa00190","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","87/2534","134/8764",3.42633248513095e-18,1.15467404748913e-16,6.78053165478545e-17,"4706/7384/51606/4710/537/6389/4708/4713/51382/64077/4717/4728/10312/506/1337/1347/8992/523/374291/9167/515/6390/533/4709/514/4694/1340/1350/10975/9296/4698/4705/529/1327/1349/517/1329/4711/9550/27068/7385/4716/54539/526/4715/4718/498/522/7381/516/9114/4724/27089/1345/509/4714/10632/4723/10476/4725/521/7386/54205/7388/126328/1351/4729/9377/1537/5464/4707/55967/23545/527/4697/4513/4519/4536/4540/4512/4538/6392/4539/4722/9551/539/4701",87
