"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation","gene_name.x","ENTREZID","gene_locus","ALL_1_1","ALL_1_2","ALL_1_3","ALL_1_4","ALL_2_1","ALL_2_2","ALL_2_3","ALL_2_4"
"1","ENSG00000000419",26.828757637762,0.0863997208048625,0.484048142439611,0.178494065423754,0.858334981466793,0.999606199905259,"up","DPM1","8813","20:50934867-50958555",28.818281,34.508789,32.453144,12.543274,36.493977,29.893476,12.547458,29.212732
"2","ENSG00000001629",11.293450045706,0.332377560621175,0.505042659826781,0.658117792930945,0.510462443417608,0.999606199905259,"up","ANKIB1","54467","7:92220854-92401383",8.402007,13.409325,5.668686,17.489397,11.591489,16.862701,9.126046,11.19948
"3","ENSG00000001631",11.4558353834247,0.0271563004371077,0.608584089633181,0.0446221005440282,0.964408526516532,0.999606199905259,"up","KRIT1","889","7:92198969-92246166",5.128254,14.296816,5.584865,26.498016,11.422405,14.952478,7.219361,11.565328
"4","ENSG00000002330",15.0630138176804,-0.00462781226166976,0.522989251182501,-0.00884877127246131,0.99293979415632,0.999606199905259,"down","BAD","572","11:64265765-64284704",17.97331,19.876474,14.327466,11.678874,12.264894,15.422462,6.512258,23.065325
"5","ENSG00000002549",12.8365994549121,1.13621364598789,0.486325941055978,2.33632128181522,0.0194745031589465,0.999606199905259,"up","LAP3","51056","4:17577192-17607972",5.309134,13.030482,7.087443,10.196026,23.91148,18.233547,14.854234,11.968966
"6","ENSG00000002586",87.0195971043918,0.477489305446809,0.93412212833777,0.511163680809575,0.609236447975265,0.999606199905259,"up","CD99","4267","X:2691187-2741309",9.411101,40.190319,53.264282,226.567825,30.928675,53.557919,34.448959,244.946075
"7","ENSG00000002822",24.6289762379129,-0.193024422022474,0.725522940286504,-0.266048681997912,0.790201716801262,0.999606199905259,"down","MAD1L1","8379","7:1815793-2233243",25.602156,20.087902,14.557077,53.7924,10.43152,8.227551,47.862434,14.773751
"8","ENSG00000002834",15.0638219594422,0.0840727705201131,0.556450297838703,0.151087654812403,0.879906570739509,0.999606199905259,"up","LASP1","3927","17:38869859-38921770",17.893805,10.429981,12.998822,20.946749,13.888653,13.214963,24.042894,7.115939
"9","ENSG00000003056",19.8143245368466,0.569223548054568,0.521918715616276,1.09063639801159,0.275432906990855,0.999606199905259,"up","M6PR","4074","12:8940361-8949761",12.709743,23.350523,16.192907,16.680483,49.976772,19.942846,9.803956,15.865222
"10","ENSG00000003400",11.8583718634173,-0.13637840625254,0.585099657023751,-0.233085773706074,0.81569480163364,0.999606199905259,"down","CASP10","843","2:201182881-201229406",7.388394,10.639565,7.864215,28.697256,9.375403,12.426266,10.061242,11.575648
"11","ENSG00000003402",38.4636947098663,0.657794918681332,0.355209420128018,1.85185099664379,0.0640472223206931,0.999606199905259,"up","CFLAR","8837","2:201116154-201176687",30.073013,28.433054,30.053652,39.083576,49.951874,36.717834,53.92094,37.288654
"12","ENSG00000003436",14.2863764831046,3.540165327,1.35391284987051,2.61476602968838,0.00892885964077958,0.751299761202739,"up","TFPI","7035","2:187464230-187565760",0.500767,0.312356,5.599384,2.163358,37.60836,69.621971,3.914311,0.043631
"13","ENSG00000003756",113.836120949976,0.034260458333829,0.360299752498384,0.0950887645530167,0.924244322225331,0.999606199905259,"up","RBM5","10181","3:50086983-50178806",108.825409,109.20549,114.731537,146.125641,79.036636,94.432289,112.888786,141.097458
"14","ENSG00000004059",49.3711745204223,-0.185521010974664,0.551564843789548,-0.336353944714885,0.736603975057075,0.999606199905259,"down","ARF5","381","7:127588386-127591700",89.351822,47.483822,53.232159,27.834078,65.844666,37.065651,17.438257,59.730309
"15","ENSG00000004455",20.3847690457228,-0.385917571506432,0.522886616162865,-0.738052112212084,0.460482782395934,0.999606199905259,"down","AK2","204","1:33007940-33080996",20.629158,41.860989,9.533462,29.686625,32.037888,18.049721,9.916764,11.470701
"16","ENSG00000004468",25.5827514049384,0.331319269613273,1.11819196021464,0.296299098367401,0.767001674453718,0.999606199905259,"up","CD38","952","4:15778275-15853232",37.654957,46.603939,0.996141,13.649426,29.021511,33.974617,45.876625,0.454504
"17","ENSG00000004487",25.2610956663595,0.0377346499840414,0.368546923862533,0.102387640598287,0.918448993488558,0.999606199905259,"up","KDM1A","23028","1:23019443-23083689",25.327585,27.696218,25.739727,26.882734,27.951607,26.311403,27.836706,16.313545
"18","ENSG00000004534",45.0357968314368,-0.0336806518379281,0.674011868656164,-0.0499704135849716,0.960145965394707,0.999606199905259,"down","RBM6","10180","3:49929095-50100045",19.811672,51.509365,21.522469,111.862984,20.986155,33.738491,79.32975,27.009449
"19","ENSG00000004700",13.2171395644852,-0.112216040179072,0.581068315116544,-0.193120218844776,0.846864818364184,0.999606199905259,"down","RECQL","5965","12:21468910-21501669",9.430873,30.240149,9.200294,13.229837,19.716692,15.829293,4.981125,10.410281
"20","ENSG00000004766",11.20552447372,0.104007669888479,0.580215696013578,0.179256904980462,0.857735983541848,0.999606199905259,"up","VPS50","55610","7:93232340-93361123",6.537015,16.486038,6.444693,18.742771,9.968453,15.291487,4.521972,15.006711
"21","ENSG00000004777",10.9981381545602,0.027059097049129,1.09630441892127,0.0246821015970676,0.980308531588404,0.999606199905259,"up","ARHGAP33","115703","19:35774532-35788822",7.475908,8.863643,4.255568,28.807871,3.310114,2.181099,32.321182,1.292134
"22","ENSG00000004779",26.6290950976976,-0.429708259130224,0.679672112307811,-0.632228763471198,0.527237404647004,0.999606199905259,"down","NDUFAB1","4706","16:23581014-23596316",43.52795,52.608189,21.190756,12.554069,48.311043,29.196974,4.886732,11.678342
"23","ENSG00000004809",10.0749837337672,0.0604484814443283,0.580234610649364,0.104179379056134,0.917026998044674,0.999606199905259,"up","SLC22A16","85413","6:110424687-110476641",6.006429,18.48151,5.033303,14.740859,9.252455,14.385426,6.125315,11.178245
"24","ENSG00000004897",15.4929254812428,-0.642264526992073,0.561056657160276,-1.14474094335289,0.252316485551364,0.999606199905259,"down","CDC27","996","17:47117703-47189422",17.562078,15.374189,30.103979,14.530684,15.004353,19.534325,7.244025,6.351947
"25","ENSG00000004939",13.9436731751506,-0.876260286544739,1.07614352312282,-0.814259685364227,0.415496199676299,0.999606199905259,"down","SLC4A1","6521","17:44248390-44268141",16.321705,3.074782,46.537426,3.291273,16.330612,21.343924,3.431019,0.754356
"26","ENSG00000005007",17.3240774152056,0.115234553714811,0.63747834316096,0.180766225160554,0.856551074739806,0.999606199905259,"up","UPF1","5976","19:18831938-18868236",17.422323,14.890825,18.334972,19.915035,6.627258,8.585424,33.048264,14.598353
"27","ENSG00000005022",51.1899757795683,-0.451602781262283,0.466696707689478,-0.96765795391632,0.333215223404367,0.999606199905259,"down","SLC25A5","292","X:119468422-119471396",67.288437,65.404633,80.449493,33.034847,74.128578,41.763718,24.073254,32.025993
"28","ENSG00000005059",20.0528012841262,-0.638575723973396,0.775755319718675,-0.823166413096559,0.410413365853488,0.999606199905259,"down","MCUB","55013","4:109560209-109688719",40.371944,3.16717,36.027538,19.273975,27.047762,18.241737,4.658178,12.948218
"29","ENSG00000005075",12.1175038570426,-0.240540882461634,0.512672840548278,-0.469189829140135,0.638933954816548,0.999606199905259,"down","POLR2J","5439","7:102473118-102478907",17.720459,14.603658,9.281766,14.223762,12.673354,6.422859,11.376537,11.588459
"30","ENSG00000005156",10.0172664720634,0.105537943093803,0.529321027570505,0.199383620896764,0.841962671895805,0.999606199905259,"up","LIG3","3980","17:34980494-35009743",7.211309,16.201036,8.615911,10.212939,15.639999,11.116814,8.333708,5.645443
"31","ENSG00000005206",55.0928808717952,0.403144044211932,0.795990418480712,0.506468463504126,0.612527823154335,0.999606199905259,"up","SPPL2B","56928","19:2321521-2355095",42.030388,34.197781,18.303453,117.89859,18.324856,21.669168,134.511795,42.909096
"32","ENSG00000005249",12.1038338026596,1.96272907154255,1.02853328325692,1.90827958948244,0.0563550895730751,0.999606199905259,"up","PRKAR2B","5577","7:107044705-107161811",4.275434,0.355641,10.28035,5.57549,31.084915,14.719336,0.63906,28.682348
"33","ENSG00000005302",10.1835023675653,0.281074392994754,0.647673686681415,0.433975316235152,0.664306365790055,0.999606199905259,"up","MSL3","10943","X:11758159-11775772",6.302805,11.509336,15.430214,5.437677,6.902022,8.702794,16.299662,9.075519
"34","ENSG00000005339",31.0215014066796,0.0176036262317084,0.585477961844667,0.0300671030831709,0.976013536799448,0.999606199905259,"up","CREBBP","1387","16:3725054-3880726",26.078289,27.01125,34.437214,44.441673,10.212006,24.024826,51.620674,25.814953
"35","ENSG00000005379",19.9549908560225,0.387706965694247,0.700894050050502,0.553160589202193,0.580153450977107,0.999606199905259,"up","TSPOAP1","9256","17:58301228-58328795",32.539635,5.253397,9.57709,24.829239,17.421991,40.18388,23.362381,7.586628
"36","ENSG00000005381",46.2541786048057,3.00860521467294,1.18643165856347,2.5358436728802,0.0112176797725448,0.839011223622715,"up","MPO","4353","17:58269856-58280935",24.291685,8.21095,6.534339,3.475121,305.884552,9.158285,37.717865,0.971459
"37","ENSG00000005483",126.273191851063,0.126900192064583,0.374719523230378,0.338653804238975,0.73487054512742,0.999606199905259,"up","KMT2E","55904","7:105014190-105115019",122.450813,112.500984,163.731689,102.660866,111.897423,188.765305,84.056183,125.166435
"38","ENSG00000005700",11.2551254770569,-0.0043325934112842,0.566778826022612,-0.00764424006748508,0.99390083827129,0.999606199905259,"down","IBTK","25998","6:82169986-82247754",10.294785,18.84758,6.432696,15.224874,14.429689,17.535059,3.604272,9.211208
"39","ENSG00000005801",14.2677208764488,-0.273441477495712,0.580708554340606,-0.470875580274867,0.637729587446313,0.999606199905259,"down","ZNF195","7748","11:3339261-3379222",19.892405,23.632307,9.998572,13.060288,7.295859,14.350452,20.001444,6.709834
"40","ENSG00000005810",65.7921615486131,0.342593321882415,0.486508872839159,0.704187201937583,0.481316200028899,0.999606199905259,"up","MYCBP2","23077","13:77044657-77327094",32.677467,96.334007,24.602167,108.231682,72.648361,107.235085,46.241356,62.417263
"41","ENSG00000005812",30.1311012888028,-0.34200885821206,0.569717399021123,-0.600313170704795,0.548297542743625,0.999606199905259,"down","FBXL3","26224","13:76991694-77027195",45.700069,22.80991,52.275913,14.84578,25.346245,31.428852,13.646021,32.429012
"42","ENSG00000005844",10.8119347575483,0.108209450884324,0.818544934198879,0.132197325233256,0.894828216709138,0.999606199905259,"up","ITGAL","3683","16:30472658-30523185",2.699033,12.373067,2.12233,31.416121,10.993449,6.908987,16.189262,8.128892
"43","ENSG00000005889",24.8604610737375,-0.0853774004279109,0.508286452848651,-0.167971032769849,0.866606067766928,0.999606199905259,"down","ZFX","7543","X:24149173-24216255",24.493862,19.150883,45.189194,15.520558,24.572165,24.05434,19.193935,24.169762
"44","ENSG00000005893",19.4175302578327,0.320406026706937,0.603884898065404,0.530574663703936,0.595713556767944,0.999606199905259,"up","LAMP2","3920","X:120427827-120469365",20.798553,21.08247,18.571558,11.745603,42.82716,29.952127,6.35651,9.631083
"45","ENSG00000006007",11.3869694565213,-0.192770519494108,0.616322656910744,-0.312775325282298,0.754451363059343,0.999606199905259,"down","GDE1","51573","16:19501693-19522123",18.267544,10.772085,15.975295,4.614201,15.072467,13.978482,4.938948,8.358614
"46","ENSG00000006015",28.3444617036648,-0.106989809071281,0.414513214396173,-0.258109525475888,0.796322380335718,0.999606199905259,"down","REX1BD","55049","19:18588685-18592336",25.909603,42.394657,32.603271,23.718237,34.340759,21.772358,16.151539,33.200886
"47","ENSG00000006016",19.3545982420878,-0.334352295247487,0.511542606334334,-0.653615732310987,0.51335940590078,0.999606199905259,"down","CRLF1","9244","19:18571766-18607741",28.224401,25.140038,25.413429,12.211578,23.448128,13.244435,8.63897,21.176247
"48","ENSG00000006125",14.508738615225,-0.137059186170198,0.513436395693962,-0.266944819883578,0.789511647072592,0.999606199905259,"down","AP2B1","163","17:35578046-35726413",17.02573,18.023027,17.530842,11.099342,12.224186,23.855715,10.1169,8.350617
"49","ENSG00000006194",18.4888090039641,-0.388515371296916,0.492382599927413,-0.789051788901946,0.430081738152952,0.999606199905259,"down","ZNF263","10127","16:3263800-3301401",32.068089,18.145111,22.61339,14.311874,22.274746,14.056853,10.371725,16.361813
"50","ENSG00000006576",10.5815624423976,-0.0298767814394946,0.567721185432325,-0.0526257997871669,0.958030060191925,0.999606199905259,"down","PHTF2","57157","7:77798792-77957503",6.172196,9.815786,12.603189,17.341295,13.516975,11.24215,4.008757,11.87018
"51","ENSG00000006625",10.0289144732671,-0.103119900961063,0.672939089241783,-0.153238090355623,0.878210520619029,0.999606199905259,"down","GGCT","79017","7:30496621-30504841",7.463645,19.725595,8.174409,11.276747,20.542957,12.195146,3.316053,3.715788
"52","ENSG00000006652",89.3330910510855,0.607926331147878,0.674460916719544,0.901351458739406,0.367401481652208,0.999606199905259,"up","IFRD1","3475","7:112422968-112481017",51.500862,45.317837,158.695694,23.246435,107.647369,56.189499,131.11647,105.327019
"53","ENSG00000006744",13.0368274257916,0.0803737815993517,0.486356300135796,0.1652569969319,0.868741704846632,0.999606199905259,"up","ELAC2","60528","17:12991612-13018065",10.307819,15.589255,9.987149,19.055941,12.646305,12.522838,16.636806,8.212303
"54","ENSG00000007168",32.4437855852446,-0.320058288304847,0.381240123909121,-0.839518896969883,0.40117818953784,0.999606199905259,"down","PAFAH1B1","5048","17:2573825-2685615",32.817215,29.762268,40.118092,50.483814,21.701225,36.846573,26.625071,23.697397
"55","ENSG00000007202",33.9052030749889,0.359350499831608,0.496873900400007,0.72322273225121,0.469543054924138,0.999606199905259,"up","KIAA0100","9703","17:28614446-28645454",18.55002,42.478451,13.743505,58.134258,43.354015,35.836529,45.582298,21.288214
"56","ENSG00000007237",26.78583216126,-0.375683601116401,0.704140562200459,-0.533534952087377,0.593663322801301,0.999606199905259,"down","AC005747.1","8522","17:9910609-10198551",8.135901,12.443419,55.348454,51.049004,13.3171,31.63373,24.319901,18.617422
"57","ENSG00000007255",9.61304505322951,-0.604792902289437,0.57672153900913,-1.0486740331019,0.294328169372883,0.999606199905259,"down","TRAPPC6A","79090","19:45162928-45178237",16.29812,16.421534,9.966015,7.336541,9.466773,5.230449,5.798476,9.075236
"58","ENSG00000007312",74.5142881190449,-0.904785363017115,0.59021448505314,-1.53297722426391,0.125281466742813,0.999606199905259,"down","CD79B","974","17:63928740-63932354",99.112602,84.767426,138.368729,78.984871,13.234959,46.577427,51.038445,76.992813
"59","ENSG00000007392",36.6882873607602,0.111599412758556,0.449983321660133,0.248007886929742,0.804128304521677,0.999606199905259,"up","LUC7L","55692","16:188969-229463",29.210339,38.364925,35.727833,48.025127,18.696537,45.918709,49.295433,27.95002
"60","ENSG00000007541",17.7868074079936,0.0510528638169808,0.595992703267635,0.0856602162024374,0.931736528707811,0.999606199905259,"up","PIGQ","9091","16:566995-584136",28.776781,11.580215,13.570701,18.00494,13.739613,8.765408,29.255556,14.017884
"61","ENSG00000007944",60.7621024487691,1.56369323076477,0.483796253220512,3.23213175041281,0.00122870390729509,0.231586112446979,"up","MYLIP","29116","6:16129086-16148248",38.498699,20.582996,47.52021,18.348801,105.686584,65.359901,94.294159,79.001053
"62","ENSG00000007968",23.4362586419888,-1.91509599897644,0.699820266005242,-2.73655407253109,0.00620863904534609,0.664888799583427,"down","E2F2","1870","1:23506438-23531233",70.165108,15.246476,39.284008,26.97143,13.586514,8.556531,12.792967,1.979913
"63","ENSG00000008018",91.6199813495145,-0.320417863892357,0.58760924294356,-0.54529071443339,0.585553589397748,0.999606199905259,"down","PSMB1","5689","6:170535120-170553307",145.064224,110.044655,129.661255,31.922266,128.057083,74.067192,29.06233,90.79689
"64","ENSG00000008083",20.7304266018703,0.627428775310943,0.607448293938625,1.03289248084436,0.301654217958184,0.999606199905259,"up","JARID2","3720","6:15246069-15522042",8.209294,13.965023,30.4167,15.249342,13.393845,20.021368,25.589249,32.888168
"65","ENSG00000008128",22.7206506323703,0.888990569488783,0.731529281029974,1.21524946785057,0.224270958502876,0.999606199905259,"up","CDK11A","728642","1:1702379-1724357",15.813495,6.280797,22.142595,21.686989,8.852748,16.421442,55.191505,23.819479
"66","ENSG00000008130",29.710654535437,0.490974138624557,0.653132101478805,0.751722565026136,0.452217917518495,0.999606199905259,"up","NADK","65220","1:1751232-1803965",28.531124,21.802885,11.571199,45.362816,36.114555,16.206886,63.840408,11.679274
"67","ENSG00000008282",36.6830437294889,0.253725685441854,0.383158598905906,0.662194940075355,0.507846296594686,0.999606199905259,"up","SYPL1","6856","7:106090503-106112576",28.987356,44.433208,29.958,41.769512,46.733719,59.054047,17.797642,33.68803
"68","ENSG00000008294",30.1972623754689,-0.172359515652482,0.480217270586171,-0.358919860258449,0.719655041883755,0.999606199905259,"down","SPAG9","9043","17:50962174-51120868",26.314123,24.897816,55.105663,25.42898,23.846922,33.787292,26.856409,23.076157
"69","ENSG00000008324",13.992324032594,-0.215116283436393,0.651175846326731,-0.330350526128786,0.741135119424875,0.999606199905259,"down","SS18L2","51188","3:42553391-42595114",23.955639,10.994214,20.79162,5.251117,22.332287,10.677306,7.390277,10.565262
"70","ENSG00000008405",22.7609715744819,-0.305113172752105,0.817175396182421,-0.373375378379593,0.708869081900111,0.999606199905259,"down","CRY1","1407","12:106987999-107093549",22.515236,11.504247,57.167095,6.030268,7.008144,13.70912,26.330299,25.655569
"71","ENSG00000008513",28.7077695271158,0.947348376361516,0.500468445449646,1.89292329011946,0.0583680715023812,0.999606199905259,"up","ST3GAL1","6482","8:133454848-133571940",12.298243,14.228684,15.696607,44.206905,31.421103,53.951481,30.620684,30.047646
"72","ENSG00000008710",14.414264629505,-0.0240494321189342,0.713516621433,-0.0337054966857454,0.973111995743243,0.999606199905259,"down","PKD1","5310","16:2088710-2135898",9.562115,14.098924,9.131014,31.087536,6.614715,6.384474,27.757099,9.946909
"73","ENSG00000008838",16.8424548685408,0.203768706387641,0.654922102213094,0.311134264211075,0.755698553876982,0.999606199905259,"up","MED24","9862","17:40019097-40061215",13.834683,14.868242,11.351184,28.047131,8.366839,13.313257,35.00943,8.71673
"74","ENSG00000008869",12.1222637871004,1.14576131894107,0.628515835862759,1.82296332656167,0.0683089455137393,0.999606199905259,"up","HEATR5B","54497","2:36968383-37084372",3.58401,14.972665,3.430928,12.217026,24.026989,22.288589,6.494959,14.612266
"75","ENSG00000008952",20.4863072769877,-0.636603285432572,0.538204584671773,-1.1828276896244,0.236877444250546,0.999606199905259,"down","SEC62","7095","3:169966635-169998373",23.063625,21.692743,39.126484,19.3841,16.204004,25.525812,6.455398,15.498483
"76","ENSG00000008988",1164.69471567287,0.10489050092019,0.424735061335863,0.246955126780191,0.804942952233102,0.999606199905259,"up","RPS20","6224","8:56067295-56074581",1487.959717,1297.617432,1290.615723,584.105408,1820.746948,1207.96582,659.75769,1077.626465
"77","ENSG00000009307",93.0805944929804,-0.158096953449948,0.463846216241597,-0.340839157277079,0.733224670346248,0.999606199905259,"down","CSDE1","7812","1:114716913-114758676",115.715454,78.595901,149.202774,56.399769,81.170647,95.249542,57.264374,102.649391
"78","ENSG00000009335",12.7618061502929,0.174960831053644,0.574779103403071,0.304396645629183,0.760825723024504,0.999606199905259,"up","UBE3C","9690","7:157138916-157269370",8.505157,18.978342,4.479575,22.008471,18.449053,18.863138,8.041312,8.957024
"79","ENSG00000009413",18.9745708151298,0.701966773217799,0.596404927255825,1.1769969380496,0.239196728386244,0.999606199905259,"up","REV3L","5980","6:111299028-111483715",9.173699,22.647177,6.010386,27.314932,18.213104,45.976162,15.805313,13.219667
"80","ENSG00000009954",17.1282992060608,-0.102347233655448,0.429647370796214,-0.23821217261444,0.811716536455446,0.999606199905259,"down","BAZ1B","9031","7:73440406-73522293",18.74015,21.832411,13.031296,23.293171,24.967781,17.285172,13.690382,9.008773
"81","ENSG00000010017",30.653574279035,-0.158651425635018,0.453467589900133,-0.349862766752432,0.726441691024741,0.999606199905259,"down","RANBP9","10048","6:13621498-13711835",32.581051,27.887043,48.856785,22.730106,29.520014,24.526953,21.133728,33.955276
"82","ENSG00000010244",98.1611424570689,-0.068681365872044,0.348729580829448,-0.19694734730758,0.84386874142672,0.999606199905259,"down","ZNF207","7756","17:32350117-32381886",86.986816,101.055,144.525772,84.575729,94.714005,94.616898,84.264709,91.052483
